date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,showrooms_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,quality_arrivals
"Jan 17, 2023",Model_A,1831,688,179,3,0,6,2570,3516,1960,1155,0,17,302,128,1087,3232,1845
"Jan 1, 2024",Model_F,264,77,30,1,0,0,774,966,541,267,0,1,150,60,281,868,265
"Jan 9, 2023",Model_D,864,353,166,4,0,10,1324,1913,1538,38,0,39,233,59,730,1712,869
"Jan 20, 2023",Model_E,448,167,75,7,0,0,955,1132,757,230,0,3,131,147,418,1058,451
"Jan 21, 2023",Model_A,1866,705,169,2,0,2,2783,3735,2013,1295,0,19,339,139,1047,3446,1874
"Jan 1, 2024",Model_D,397,137,41,3,0,0,1622,1873,614,367,0,15,144,430,585,1757,400
"Jan 2, 2024",Model_F,420,117,67,5,0,0,1267,1607,895,481,0,11,189,113,494,1467,422
"Jan 2, 2023",Model_D,546,219,102,5,0,0,1048,1370,1136,30,0,17,157,36,463,1268,549
"Jan 9, 2023",Model_A,1699,651,224,3,0,12,2476,3347,2776,89,0,26,278,111,1142,3095,1710
"Jan 26, 2023",Model_B,1011,391,143,1,1,4,1274,1848,963,604,0,4,223,16,611,1708,1013
"Feb 7, 2023",Model_D,1068,412,161,9,2,4,2076,2792,1306,940,0,39,315,70,1016,2518,1074
"Feb 10, 2023",Model_B,1126,398,167,3,1,10,1514,2160,825,859,0,91,246,15,756,1991,1140
"Jan 11, 2023",Model_F,310,100,53,5,0,0,757,1002,759,152,0,2,73,100,358,920,310
"Feb 9, 2023",Model_E,299,101,60,3,0,2,1010,1172,781,194,0,50,109,155,397,1100,300
"Jan 18, 2023",Model_E,295,113,63,2,0,0,868,1012,705,175,0,2,111,142,321,950,295
"Jan 23, 2023",Model_A,1901,659,243,2,0,2,2749,3731,2111,1289,0,20,311,125,1208,3425,1910
"Jan 12, 2023",Model_F,403,134,55,5,0,0,939,1222,910,215,0,7,74,116,444,1131,407
"Jan 3, 2023",Model_E,247,96,67,5,0,2,675,807,692,4,0,4,92,81,295,763,248
"Jan 10, 2023",Model_E,287,109,60,2,0,2,840,980,804,80,0,2,88,115,303,917,289
"Jan 1, 2024",Model_A,912,317,86,2,0,0,1757,2293,1113,633,0,10,306,285,675,2152,922
"Jan 1, 2023",Model_D,527,220,89,3,0,0,949,1262,1042,40,0,3,158,40,420,1137,533
"Jan 10, 2023",Model_D,762,302,146,5,2,4,1352,1908,1325,259,0,28,240,49,728,1700,767
"Jan 10, 2023",Model_B,916,323,159,5,0,10,820,1338,871,218,0,11,159,10,496,1239,923
"Jan 5, 2023",Model_C,1251,381,157,4,0,8,1603,2271,1854,50,0,10,303,12,858,2036,1260
"Jan 18, 2023",Model_C,1117,330,115,10,1,2,1748,2380,1156,932,0,32,274,14,868,2166,1127
"Feb 14, 2023",Model_C,1154,329,132,3,0,2,1895,2536,1115,905,0,77,234,16,888,2336,1158
"Jan 8, 2023",Model_D,765,324,185,10,2,6,1378,1944,1613,23,0,22,240,68,713,1714,776
"Jan 2, 2024",Model_C,606,165,89,1,1,2,1322,1757,1015,529,0,43,166,66,637,1620,611
"Jan 3, 2023",Model_D,701,283,113,3,0,10,1181,1642,1362,38,0,25,185,50,629,1506,703
"Jan 13, 2023",Model_A,1831,686,165,2,1,10,2721,3607,2006,1251,0,9,285,137,1121,3327,1844
"Jan 1, 2023",Model_A,1194,437,129,4,1,0,1755,2356,2017,61,0,4,249,76,665,2193,1209
"Jan 9, 2023",Model_F,328,116,67,4,0,2,723,986,845,17,0,5,79,86,370,906,331
"Jan 22, 2023",Model_E,339,156,71,3,0,0,945,1072,749,216,0,4,117,148,285,1005,341
"Jan 5, 2023",Model_B,938,387,245,4,0,12,808,1410,1145,36,0,11,169,9,531,1265,939
"Jan 3, 2023",Model_F,336,111,58,2,0,0,737,968,867,11,0,7,77,100,368,888,339
"Jan 18, 2023",Model_A,1788,691,173,4,0,0,2658,3545,2025,1144,0,22,313,134,1151,3256,1801
"Jan 10, 2023",Model_F,363,113,56,5,0,0,888,1150,932,89,0,4,87,148,387,1069,364
"Jan 2, 2024",Model_E,336,93,29,13,0,2,419,838,428,295,0,3,110,1,310,786,336
"Jan 2, 2023",Model_E,190,67,44,5,0,2,600,703,592,11,0,4,83,92,196,674,190
"Jan 21, 2023",Model_D,1036,437,162,6,0,6,1918,2561,1371,879,0,48,277,70,870,2270,1043
"Jan 15, 2023",Model_D,916,373,157,4,0,4,1691,2268,1242,748,0,23,245,76,733,2021,925
"Jan 11, 2023",Model_A,1762,659,196,1,0,5,2568,3477,1918,1134,0,10,313,148,1100,3181,1771
"Jan 13, 2023",Model_C,1128,338,119,5,1,2,1792,2392,1121,975,0,16,288,14,863,2200,1135
"Feb 1, 2023",Model_B,976,366,156,3,3,2,1274,1853,925,622,0,4,216,13,659,1700,985
"Jan 19, 2023",Model_D,890,340,147,8,2,0,1614,2142,1160,691,0,36,246,66,744,1925,900
"Jan 8, 2023",Model_C,981,329,187,7,0,8,1418,1969,1654,26,0,13,253,15,703,1792,983
"Jan 2, 2024",Model_A,1398,444,122,1,0,0,2431,3228,1650,938,0,30,334,357,1093,2947,1407
"Jan 6, 2023",Model_F,351,127,51,5,0,2,734,998,864,12,0,4,99,92,355,938,352
"Jan 1, 2024",Model_C,376,108,64,0,0,2,969,1197,685,357,0,11,132,38,376,1125,376
"Jan 1, 2024",Model_E,188,61,17,2,0,0,234,462,258,131,0,0,66,1,170,427,190
"Jan 1, 2024",Model_B,481,165,70,1,0,0,461,780,387,250,0,6,121,0,230,717,485
"Jan 2, 2024",Model_D,598,194,95,7,0,6,2042,2538,956,546,0,41,201,471,844,2372,604
"Jan 2, 2024",Model_B,722,264,152,1,0,14,675,1239,650,374,0,30,161,3,442,1131,725
"Jan 20, 2023",Model_B,1040,389,126,2,0,6,1179,1740,876,620,0,12,189,11,561,1586,1047
"Jan 4, 2023",Model_C,1186,328,101,12,0,4,1507,2097,1728,51,0,28,255,14,765,1885,1190
"Jan 6, 2023",Model_B,910,377,199,7,0,28,807,1326,1051,27,0,18,181,10,501,1217,916
"Jan 5, 2023",Model_A,1824,745,228,3,0,18,2408,3330,2860,61,0,21,317,118,1096,3047,1832
"Jan 25, 2023",Model_B,1097,381,153,3,0,6,1257,1872,997,583,0,8,238,8,650,1732,1106
"Jan 21, 2023",Model_C,1168,352,149,4,0,2,1748,2324,1095,912,0,19,298,22,726,2123,1173
"Jan 16, 2023",Model_B,960,361,180,2,1,6,1180,1754,919,564,0,19,195,17,567,1611,967
"Jan 7, 2023",Model_D,868,362,167,6,1,9,1419,2013,1629,40,0,33,276,55,747,1778,884
"Jan 10, 2023",Model_C,1159,308,118,6,0,2,1564,2200,1480,413,0,29,274,14,870,1980,1165
"Jan 13, 2023",Model_D,842,331,96,4,1,0,1501,2029,1096,670,0,20,225,73,734,1835,847
"Jan 15, 2023",Model_F,304,112,72,6,0,2,897,1193,845,245,0,11,91,124,352,1115,306
"Jan 6, 2023",Model_A,1650,708,204,3,0,10,2330,3148,2694,64,0,20,319,114,1031,2884,1658
"Jan 16, 2023",Model_E,337,127,69,3,0,0,1017,1150,861,169,0,3,113,158,380,1086,340
"Jan 19, 2023",Model_A,1776,640,200,2,0,4,2581,3494,1956,1166,0,16,302,110,1073,3209,1790
"Jan 5, 2023",Model_E,334,141,78,4,0,2,861,1021,848,9,0,6,134,100,342,964,337
"Jan 1, 2023",Model_F,210,71,45,4,0,0,538,749,648,5,0,0,82,66,193,703,210
"Jan 9, 2023",Model_E,226,95,69,4,0,4,682,816,665,7,0,5,111,101,272,766,229
"Jan 7, 2023",Model_F,277,124,54,0,0,0,644,878,763,8,0,5,85,61,264,816,278
"Feb 11, 2023",Model_C,1244,392,140,4,0,8,1906,2566,1100,902,0,58,255,15,811,2337,1246
"Feb 25, 2023",Model_B,1114,458,216,1,1,14,1766,2381,803,1293,0,75,208,11,769,2204,1127
"Mar 13, 2023",Model_D,1262,419,212,1,2,8,2052,2973,1483,753,0,219,290,71,1184,2601,1268
"Jan 30, 2023",Model_B,1075,337,180,6,1,2,1389,2013,1023,680,0,7,245,16,664,1854,1084
"Mar 23, 2023",Model_A,1939,617,159,8,0,4,2493,3526,2014,1084,0,57,361,131,1126,3249,1958
"Feb 18, 2023",Model_A,1812,750,279,3,1,16,2839,3815,1898,1534,0,30,338,126,1103,3500,1827
"Mar 3, 2023",Model_A,1869,676,233,2,0,10,2762,3807,1954,1382,0,42,360,148,1262,3516,1883
"May 2, 2023",Model_E,432,172,50,1,0,5,146,634,341,160,0,10,74,6,285,565,435
"May 3, 2023",Model_C,988,257,130,6,0,2,924,1569,779,442,0,135,168,11,635,1418,994
"Jan 4, 2023",Model_D,750,316,134,5,0,14,1154,1651,1344,46,0,27,176,34,612,1501,754
"Mar 22, 2023",Model_E,275,92,68,5,0,0,1010,1207,793,240,0,21,112,101,400,1121,278
"Jan 12, 2023",Model_A,1790,665,185,2,0,10,2740,3689,2037,1261,0,8,317,222,1222,3432,1798
"Jan 19, 2023",Model_F,375,123,57,3,0,0,928,1203,834,245,0,5,102,119,411,1114,377
"Jan 17, 2023",Model_E,279,105,60,2,1,2,897,1025,709,214,0,2,92,145,313,972,281
"Jan 4, 2023",Model_F,441,188,69,2,0,2,869,1152,981,14,0,15,107,93,436,1057,443
"Mar 27, 2023",Model_D,999,340,171,0,1,2,1567,2289,1190,509,0,274,217,63,899,2029,1007
"Apr 14, 2023",Model_C,1322,351,121,0,2,4,1206,1915,989,584,0,74,231,6,749,1729,1331
"Jul 24, 2023",Model_F,392,128,233,4,0,2,2009,2327,1044,892,0,15,160,259,780,2159,395
"Jan 11, 2023",Model_C,1139,323,112,5,0,2,1616,2281,1166,839,0,20,261,15,887,2021,1142
"Oct 6, 2023",Model_F,321,95,92,0,0,0,944,1235,810,334,0,11,182,40,458,1134,321
"Jan 18, 2023",Model_D,885,367,108,2,1,2,1546,2114,1130,677,0,24,258,61,780,1951,888
"Mar 18, 2023",Model_B,1196,377,121,1,0,10,1316,1944,948,698,0,69,177,9,650,1748,1205
"Mar 25, 2023",Model_F,324,105,118,0,0,0,1995,2331,1102,561,0,39,218,354,688,2211,325
"Nov 26, 2023",Model_D,501,197,152,1,0,2,2389,2799,728,459,0,34,147,518,842,2667,505
"Dec 10, 2023",Model_F,127,38,36,1,0,2,547,723,373,242,0,4,66,65,215,688,128
"May 4, 2023",Model_B,872,270,166,0,1,2,717,1257,619,423,0,46,141,7,452,1151,880
"May 21, 2023",Model_D,906,239,809,4,3,6,2032,3135,1181,801,0,115,264,221,1032,2858,917
"Jan 2, 2023",Model_F,215,84,31,1,0,4,547,694,615,5,0,2,65,65,230,646,215
"May 6, 2023",Model_C,832,191,80,1,0,0,766,1312,672,400,0,50,148,8,485,1172,835
"May 22, 2023",Model_E,398,141,32,0,0,4,111,644,338,131,0,8,67,8,267,601,405
"Jan 27, 2023",Model_C,1081,296,106,6,0,4,1493,2090,1109,714,0,13,264,10,766,1921,1085
"May 23, 2023",Model_A,1581,517,166,3,0,12,2151,3024,1893,787,0,14,272,348,1009,2772,1591
"Jun 9, 2023",Model_B,800,291,125,0,0,6,706,1306,651,423,0,72,134,9,496,1196,810
"Jun 28, 2023",Model_F,338,116,165,4,1,6,1533,1819,859,463,0,79,138,190,677,1662,340
"Jun 16, 2023",Model_A,1225,454,151,2,0,8,2001,2766,1692,698,0,18,298,342,869,2579,1234
"Jan 29, 2023",Model_C,1078,318,113,6,0,0,1709,2250,1068,899,0,10,268,16,693,2072,1082
"Feb 5, 2023",Model_D,1248,534,196,5,0,6,2357,3069,1473,1193,0,37,349,77,1010,2748,1254
"Aug 13, 2023",Model_A,1556,561,186,1,0,19,2555,3451,1642,1422,0,14,336,311,1030,3188,1576
"Sep 5, 2023",Model_D,739,253,158,2,1,8,1701,2355,1102,490,0,151,236,157,919,2152,746
"Jan 14, 2023",Model_B,1009,346,155,4,0,2,927,1528,748,502,0,15,187,7,503,1410,1013
"Jan 6, 2023",Model_D,799,344,151,8,0,6,1319,1816,1500,23,0,23,215,49,690,1635,801
"Feb 23, 2023",Model_D,971,366,151,6,2,8,1761,2460,1137,818,0,167,222,75,918,2182,977
"Mar 5, 2023",Model_A,1847,777,324,7,1,20,3090,4168,2025,1703,0,25,350,175,1216,3800,1869
"Feb 10, 2023",Model_F,462,184,85,7,0,2,1508,1871,1038,361,0,133,147,279,573,1746,464
"Jan 12, 2023",Model_E,350,116,69,2,0,0,968,1105,792,209,0,2,105,138,358,1032,352
"Jan 31, 2023",Model_D,957,369,174,3,0,2,1897,2509,1336,880,0,13,304,74,904,2249,961
"Feb 6, 2023",Model_C,1284,349,125,6,0,6,1889,2605,1187,922,0,23,275,13,971,2373,1291
"Feb 13, 2023",Model_F,512,177,80,2,0,0,1766,2152,1167,488,0,49,158,403,628,2039,517
"Mar 12, 2023",Model_B,1364,449,249,0,0,0,1496,2287,1055,871,0,74,238,13,718,2075,1377
"Jan 13, 2023",Model_E,320,122,71,3,0,2,967,1116,817,186,0,3,116,145,354,1050,320
"Jan 12, 2023",Model_D,827,360,121,10,0,2,1488,2018,1117,638,0,34,205,97,767,1830,834
"Jan 16, 2023",Model_A,1768,704,207,5,0,8,2721,3640,2050,1169,0,25,317,136,1171,3343,1777
"Jan 4, 2023",Model_B,883,328,178,2,0,11,827,1369,1120,32,0,27,155,14,509,1233,890
"Jan 11, 2023",Model_E,300,109,57,0,0,0,915,1057,771,171,0,1,105,177,359,990,301
"Jan 14, 2023",Model_C,1081,293,151,4,0,2,1781,2342,1083,985,0,22,278,16,756,2133,1087
"Jan 28, 2023",Model_C,1072,317,139,3,0,2,1668,2244,1111,835,0,8,306,19,715,2050,1080
"Feb 6, 2023",Model_A,1854,718,176,1,1,6,2805,3781,2007,1426,0,6,304,126,1200,3507,1863
"Jan 8, 2023",Model_B,1051,421,228,2,1,10,895,1484,1229,28,0,9,188,18,511,1349,1056
"Jan 9, 2023",Model_B,981,390,222,4,1,14,805,1404,1084,34,0,20,186,11,515,1304,990
"Jan 12, 2023",Model_C,1249,384,158,2,2,6,1685,2340,1091,939,0,22,280,18,910,2115,1262
"Jan 3, 2023",Model_C,1179,316,104,3,0,6,1530,2097,1714,38,0,23,293,8,844,1895,1183
"Jan 5, 2023",Model_F,359,136,75,4,0,4,798,1095,940,11,0,6,108,100,405,1011,360
"Feb 28, 2023",Model_A,1838,733,273,2,1,18,2642,3698,2287,841,0,161,308,136,1224,3372,1847
"Mar 10, 2023",Model_C,1271,380,216,1,2,2,2015,2740,1349,592,0,279,227,22,915,2496,1279
"Sep 9, 2023",Model_A,1636,629,169,5,0,3,2871,3781,1696,1655,0,55,337,419,1109,3435,1645
"Sep 20, 2023",Model_A,1777,681,207,4,1,10,3101,4196,2148,1483,0,101,350,418,1368,3866,1784
"Sep 30, 2023",Model_F,281,111,67,1,0,0,1304,1584,976,203,0,7,299,29,517,1472,281
"Oct 13, 2023",Model_F,324,108,60,4,0,0,1020,1325,775,385,0,8,234,32,467,1238,326
"Nov 19, 2023",Model_C,745,263,1589,3,7,8,1617,3360,1075,769,0,133,591,110,1056,3102,780
"May 15, 2023",Model_E,463,149,27,2,0,6,111,728,398,126,0,5,91,2,296,686,467
"Apr 24, 2023",Model_C,1107,288,119,3,0,6,982,1691,796,527,0,96,209,13,662,1516,1112
"Apr 27, 2023",Model_E,762,316,0,1,0,2,163,876,457,177,0,13,187,3,405,780,767
"May 15, 2023",Model_C,1088,266,139,3,1,2,1046,1676,906,440,0,75,162,3,643,1530,1096
"May 22, 2023",Model_F,314,104,91,3,0,0,1144,1582,949,320,0,21,148,170,557,1458,318
"May 25, 2023",Model_D,710,256,136,9,1,2,1812,2306,1131,576,0,91,197,367,875,2133,715
"May 27, 2023",Model_E,271,93,23,0,0,0,74,412,241,103,0,3,59,2,150,381,271
"Jun 7, 2023",Model_C,840,219,100,4,1,0,822,1389,766,371,0,69,131,6,538,1264,844
"Jan 31, 2023",Model_E,279,97,62,3,0,0,879,998,678,156,0,5,130,123,355,909,280
"Jan 16, 2023",Model_C,1282,333,155,5,0,8,1873,2545,1189,1073,0,24,297,16,956,2337,1286
"Jan 15, 2023",Model_C,1113,335,163,5,0,0,1848,2426,1070,1061,0,10,299,5,750,2236,1118
"Jan 26, 2023",Model_A,1843,699,178,4,0,2,2739,3697,2077,1251,0,6,343,127,1104,3414,1850
"Feb 28, 2023",Model_D,1314,514,157,7,0,6,2729,3452,1376,412,0,1288,223,68,1119,3135,1319
"Mar 20, 2023",Model_A,2151,727,236,1,2,8,3100,4233,1993,1829,0,43,370,177,1390,3881,2177
"Jan 22, 2023",Model_A,1904,744,218,4,1,2,2991,3980,2180,1407,0,5,361,168,1117,3660,1921
"Feb 20, 2023",Model_B,1138,451,246,5,1,20,1634,2320,924,1029,0,95,205,19,804,2122,1156
"Feb 26, 2023",Model_C,1137,333,135,4,1,6,1679,2295,1157,762,0,49,284,8,747,2084,1139
"Sep 22, 2023",Model_C,792,241,95,2,0,2,1454,2002,1542,80,0,53,215,102,767,1819,793
"Sep 28, 2023",Model_E,313,102,38,6,0,4,376,824,521,131,0,4,97,2,333,777,315
"Oct 8, 2023",Model_D,716,242,108,2,0,0,2350,2817,929,559,0,42,182,368,783,2651,720
"Apr 1, 2023",Model_B,1057,325,171,2,2,4,924,1548,612,662,0,64,163,10,500,1408,1062
"May 29, 2023",Model_A,1461,476,141,2,1,2,2102,2872,1830,686,0,6,297,325,838,2653,1470
"Dec 22, 2023",Model_D,483,166,59,1,0,2,2829,3168,676,363,0,23,151,735,735,3020,486
"Jul 7, 2023",Model_C,848,224,129,1,1,4,832,1349,675,437,0,23,153,7,499,1240,855
"Jan 16, 2023",Model_D,884,338,125,6,0,4,1575,2152,1153,695,0,31,237,73,784,1911,888
"Jan 2, 2023",Model_A,1303,446,152,1,0,6,1949,2603,2206,72,0,39,244,94,779,2424,1311
"Jan 29, 2023",Model_F,331,141,58,2,0,0,933,1217,844,284,0,1,91,116,356,1132,333
"Mar 22, 2023",Model_A,1918,642,231,8,0,6,2822,3904,1879,1579,0,70,328,157,1253,3560,1929
"Jan 23, 2023",Model_F,409,137,67,3,0,6,952,1248,894,265,0,6,80,120,452,1149,411
"Apr 17, 2023",Model_B,1032,328,158,5,0,5,788,1411,694,492,0,56,163,14,485,1273,1043
"Jun 3, 2023",Model_F,215,64,73,0,0,0,1042,1278,709,316,0,14,114,180,384,1194,217
"Jun 20, 2023",Model_C,954,233,169,2,3,2,950,1650,859,477,0,84,175,11,664,1525,961
"Feb 26, 2023",Model_E,252,97,65,2,0,4,748,893,602,160,0,6,106,113,252,850,253
"Mar 4, 2023",Model_C,1615,531,327,2,1,12,2588,3501,1347,1180,0,173,313,18,1117,3123,1621
"Mar 8, 2023",Model_C,1395,366,238,1,1,2,2129,3020,1372,769,0,127,281,19,1069,2741,1407
