date,Useable Date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,car_model_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,Engine Type
"Jan 2, 2024",2024-01-02,Model_E,341,93,30,17,0,2,1016,1489,733,559,26,12,245,20,488,1397,BEV
"Jan 6, 2024",2024-01-06,Model_E,272,85,97,8,0,2,810,1290,712,340,75,4,197,14,400,1215,BEV
"Jan 10, 2024",2024-01-10,Model_E,325,77,129,9,0,2,879,1364,788,356,48,9,210,16,529,1292,BEV
"Jan 14, 2024",2024-01-14,Model_E,221,55,132,2,0,0,710,1198,616,373,41,7,203,15,415,1142,BEV
"Jan 18, 2024",2024-01-18,Model_E,288,84,106,10,0,0,871,1300,760,286,46,13,202,22,480,1219,BEV
"Jan 22, 2024",2024-01-22,Model_E,253,74,59,8,0,0,804,1207,738,228,30,24,222,26,466,1131,BEV
"Jan 26, 2024",2024-01-26,Model_E,223,56,0,6,0,0,691,922,545,221,18,7,142,20,324,860,BEV
"Jan 30, 2024",2024-01-30,Model_E,222,32,2,8,0,0,969,1101,595,188,77,6,238,23,436,1025,BEV
"Feb 3, 2024",2024-02-03,Model_E,253,81,0,8,0,0,743,892,467,224,36,3,186,28,302,819,BEV
"Feb 7, 2024",2024-02-07,Model_E,327,120,0,13,0,6,1313,1575,645,553,201,16,217,30,540,1506,BEV
"Feb 11, 2024",2024-02-11,Model_E,238,94,0,11,0,4,1353,1584,492,734,188,19,210,29,470,1513,BEV
"Feb 15, 2024",2024-02-15,Model_E,274,98,0,12,0,4,1218,1557,566,512,193,173,156,17,556,1480,BEV
"Feb 19, 2024",2024-02-19,Model_E,234,98,0,15,0,0,1055,1380,643,558,65,22,158,28,474,1282,BEV
"Feb 23, 2024",2024-02-23,Model_E,188,55,0,7,0,0,1023,1284,620,305,257,14,99,32,453,1218,BEV
"Feb 27, 2024",2024-02-27,Model_E,357,107,0,12,0,0,1502,1835,641,318,134,603,149,39,617,1732,BEV
"Mar 2, 2024",2024-03-02,Model_E,233,77,0,16,0,2,1026,1325,600,409,159,21,141,47,454,1243,BEV
